Homo sapiens	A1BG	1
Mus musculus	A1bg	117586
Canis lupus familiaris	A1BG	484230
Homo sapiens	A1CF	29974
Canis lupus familiaris	A1CF	477581
Mus musculus	A1cf	69865
Homo sapiens	A2M	2
Homo sapiens	A2ML1	144568
Canis lupus familiaris	A2ML1	486697
Homo sapiens	A3GALT2	127550
Mus musculus	A3galt2	215493
Canis lupus familiaris	A3GALT2	487298
Mus musculus	A4galt	239559
Canis lupus familiaris	A4GALT	481222
Homo sapiens	A4GALT	53947
Mus musculus	A4gnt	333424
Canis lupus familiaris	A4GNT	485683
Homo sapiens	A4GNT	51146
Mus musculus	Aaas	223921
Canis lupus familiaris	AAAS	607867
Homo sapiens	AAAS	8086
Canis lupus familiaris	AACS	486240
Homo sapiens	AACS	65985
Mus musculus	Aacs	78894
Homo sapiens	AADAC	13
Canis lupus familiaris	AADAC	477115
Mus musculus	Aadac	67758
Homo sapiens	AADACL2	344752
Canis lupus familiaris	AADACL2	609872
Homo sapiens	AADACL3	126767
Mus musculus	Aadacl3	230883
Canis lupus familiaris	AADACL3	487435
Homo sapiens	AADACL4	343066
Canis lupus familiaris	AADACL4	607688
Mus musculus	Aadat	23923
Canis lupus familiaris	AADAT	486059
Homo sapiens	AADAT	51166
Canis lupus familiaris	AAGAB	610909
Mus musculus	Aagab	66939
Homo sapiens	AAGAB	79719
Homo sapiens	AAK1	22848
Mus musculus	Aak1	269774
Canis lupus familiaris	AAK1	474625
Canis lupus familiaris	AAMDC	102155803
Homo sapiens	AAMDC	28971
Mus musculus	Aamdc	66273
Homo sapiens	AAMP	14
Mus musculus	Aamp	227290
Canis lupus familiaris	AAMP	478908
Mus musculus	Aanat	11298
Homo sapiens	AANAT	15
Canis lupus familiaris	AANAT	483331
Homo sapiens	AAR2	25980
Canis lupus familiaris	AAR2	477218
Mus musculus	Aar2	68295
Mus musculus	Aard	239435
Homo sapiens	AARD	441376
Homo sapiens	AARS1	16
Mus musculus	Aars	234734
Canis lupus familiaris	AARS1	479656
Mus musculus	Aars2	224805
Canis lupus familiaris	AARS2	474920
Homo sapiens	AARS2	57505
Homo sapiens	AARSD1	80755
Homo sapiens	AASDH	132949
Mus musculus	Aasdh	231326
Canis lupus familiaris	AASDH	482159
Canis lupus familiaris	AASDHPPT	489426
Homo sapiens	AASDHPPT	60496
Mus musculus	Aasdhppt	67618
Homo sapiens	AASS	10157
Mus musculus	Aass	30956
Canis lupus familiaris	AASS	482429
Canis lupus familiaris	AATF	100856664
Homo sapiens	AATF	26574
Mus musculus	Aatf	56321
Mus musculus	Aatk	11302
Canis lupus familiaris	AATK	483358
Homo sapiens	AATK	9625
Homo sapiens	ABAT	18
Mus musculus	Abat	268860
Canis lupus familiaris	ABAT	479856
Homo sapiens	ABCA10	10349
Mus musculus	Abca1	11303
Homo sapiens	ABCA1	19
Canis lupus familiaris	ABCA1	481651
Homo sapiens	ABCA12	26154
Canis lupus familiaris	ABCA12	478900
Mus musculus	Abca12	74591
Homo sapiens	ABCA13	154664
Mus musculus	Abca13	268379
Canis lupus familiaris	ABCA13	606966
Homo sapiens	ABCA3	21
Canis lupus familiaris	ABCA3	479879
Mus musculus	Abca4	11304
Homo sapiens	ABCA4	24
Canis lupus familiaris	ABCA4	444852
Mus musculus	Abca5	217265
Homo sapiens	ABCA5	23461
Canis lupus familiaris	ABCA5	480455
Homo sapiens	ABCA6	23460
Canis lupus familiaris	ABCA6	480456
Homo sapiens	ABCA7	10347
Mus musculus	Abca7	27403
Canis lupus familiaris	ABCA7	485090
Homo sapiens	ABCA8	10351
Canis lupus familiaris	ABCA8	490898
Homo sapiens	ABCA9	10350
Mus musculus	Abca9	217262
Canis lupus familiaris	ABCA9	611016
Canis lupus familiaris	ABCB10	100682973
Homo sapiens	ABCB10	23456
Mus musculus	Abcb10	56199
Mus musculus	Abcb11	27413
Canis lupus familiaris	ABCB11	488390
Homo sapiens	ABCB11	8647
Mus musculus	Abcb1b	18669
Canis lupus familiaris	ABCB1	403879
Homo sapiens	ABCB1	5243
Canis lupus familiaris	ABCB4	482284
Homo sapiens	ABCB4	5244
Homo sapiens	ABCB5	340273
Canis lupus familiaris	ABCB5	482344
Mus musculus	Abcb5	77706
Homo sapiens	ABCB6	10058
Canis lupus familiaris	ABCB6	478914
Mus musculus	Abcb6	74104
Mus musculus	Abcb7	11306
Homo sapiens	ABCB7	22
Canis lupus familiaris	ABCB7	491967
Homo sapiens	ABCB8	11194
Canis lupus familiaris	ABCB8	482800
Mus musculus	Abcb8	74610
Homo sapiens	ABCB9	23457
Canis lupus familiaris	ABCB9	477456
Mus musculus	Abcb9	56325
Mus musculus	Abcc10	224814
Canis lupus familiaris	ABCC10	481813
Homo sapiens	ABCC10	89845
Canis lupus familiaris	ABCC11	100856571
Homo sapiens	ABCC11	85320
Canis lupus familiaris	ABCC12	487294
Homo sapiens	ABCC12	94160
Mus musculus	Abcc1	17250
Canis lupus familiaris	ABCC1	403453
Homo sapiens	ABCC1	4363
Homo sapiens	ABCC2	1244
Mus musculus	Abcc2	12780
Canis lupus familiaris	ABCC2	403632
Canis lupus familiaris	ABCC3	491084
Mus musculus	Abcc3	76408
Homo sapiens	ABCC3	8714
Homo sapiens	ABCC4	10257
Mus musculus	Abcc4	239273
Canis lupus familiaris	ABCC4	485523
Homo sapiens	ABCC5	10057
Mus musculus	Abcc5	27416
Canis lupus familiaris	ABCC5	478648
Mus musculus	Abcc6	27421
Homo sapiens	ABCC6	368
Canis lupus familiaris	ABCC6	489993
Mus musculus	Abcc8	20927
Canis lupus familiaris	ABCC8	485402
Homo sapiens	ABCC8	6833
Homo sapiens	ABCC9	10060
Mus musculus	Abcc9	20928
Canis lupus familiaris	ABCC9	486638
Mus musculus	Abcd1	11666
Homo sapiens	ABCD1	215
Canis lupus familiaris	ABCD1	612520
Homo sapiens	ABCD2	225
Mus musculus	Abcd2	26874
Canis lupus familiaris	ABCD2	477643
Mus musculus	Abcd3	19299
Canis lupus familiaris	ABCD3	479939
Homo sapiens	ABCD3	5825
Mus musculus	Abcd4	19300
Canis lupus familiaris	ABCD4	490781
Homo sapiens	ABCD4	5826
Mus musculus	Abce1	24015
Canis lupus familiaris	ABCE1	475454
Homo sapiens	ABCE1	6059
Mus musculus	Abcf1	224742
Homo sapiens	ABCF1	23
Canis lupus familiaris	ABCF1	474826
Homo sapiens	ABCF2	10061
Canis lupus familiaris	ABCF2	482806
Mus musculus	Abcf3	27406
Canis lupus familiaris	ABCF3	478651
Homo sapiens	ABCF3	55324
Mus musculus	Abcg1	11307
Canis lupus familiaris	ABCG1	487777
Homo sapiens	ABCG1	9619
Mus musculus	Abcg2	26357
Canis lupus familiaris	ABCG2	478472
Homo sapiens	ABCG2	9429
Mus musculus	Abcg4	192663
Canis lupus familiaris	ABCG4	610604
Homo sapiens	ABCG4	64137
Mus musculus	Abcg5	27409
Canis lupus familiaris	ABCG5	481354
Homo sapiens	ABCG5	64240
Canis lupus familiaris	ABCG8	474571
Homo sapiens	ABCG8	64241
Mus musculus	Abcg8	67470
Mus musculus	Abhd10	213012
Canis lupus familiaris	ABHD10	478561
Homo sapiens	ABHD10	55347
Canis lupus familiaris	ABHD11	489803
Mus musculus	Abhd11	68758
Homo sapiens	ABHD11	83451
Homo sapiens	ABHD12	26090
Canis lupus familiaris	ABHD12	477004
Mus musculus	Abhd12	76192
Mus musculus	Abhd12b	100504285
Canis lupus familiaris	ABHD12B	100856165
Homo sapiens	ABHD12B	145447
Canis lupus familiaris	ABHD13	100686696
Mus musculus	Abhd13	68904
Homo sapiens	ABHD13	84945
Homo sapiens	ABHD14A	25864
Canis lupus familiaris	ABHD14A	484743
Mus musculus	Abhd14a	68644
Canis lupus familiaris	ABHD14B	484744
Mus musculus	Abhd14b	76491
Homo sapiens	ABHD14B	84836
Homo sapiens	ABHD15	116236
Canis lupus familiaris	ABHD15	491179
Mus musculus	Abhd15	67477
Mus musculus	Abhd16a	193742
Canis lupus familiaris	ABHD16A	474845
Homo sapiens	ABHD16A	7920
Canis lupus familiaris	ABHD16B	119865741
Homo sapiens	ABHD16B	140701
Mus musculus	Abhd16b	241850
Mus musculus	Abhd17a	216169
Canis lupus familiaris	ABHD17A	485076
Homo sapiens	ABHD17A	81926
Mus musculus	Abhd17b	226016
Canis lupus familiaris	ABHD17B	484170
Homo sapiens	ABHD17B	51104
Canis lupus familiaris	ABHD17C	488767
Homo sapiens	ABHD17C	58489
Mus musculus	Abhd17c	70178
Canis lupus familiaris	ABHD1	100685411
Homo sapiens	ABHD1	84696
Mus musculus	Abhd18	269423
Canis lupus familiaris	ABHD18	608686
Homo sapiens	ABHD18	80167
Homo sapiens	ABHD2	11057
Canis lupus familiaris	ABHD2	479037
Mus musculus	Abhd2	54608
Mus musculus	Abhd3	106861
Homo sapiens	ABHD3	171586
Canis lupus familiaris	ABHD3	480177
Mus musculus	Abhd4	105501
Canis lupus familiaris	ABHD4	607421
Homo sapiens	ABHD4	63874
Canis lupus familiaris	ABHD5	485570
Homo sapiens	ABHD5	51099
Mus musculus	Abhd5	67469
Canis lupus familiaris	ABHD6	484712
Homo sapiens	ABHD6	57406
Mus musculus	Abhd6	66082
Canis lupus familiaris	ABHD8	484840
Mus musculus	Abhd8	64296
Homo sapiens	ABHD8	79575
Homo sapiens	ABI1	10006
Mus musculus	Abi1	11308
Canis lupus familiaris	ABI1	607247
Homo sapiens	ABI2	10152
Mus musculus	Abi2	329165
Canis lupus familiaris	ABI2	488485
Canis lupus familiaris	ABI3	491068
Homo sapiens	ABI3	51225
Mus musculus	Abi3	66610
Homo sapiens	ABI3BP	25890
Mus musculus	Abi3bp	320712
Canis lupus familiaris	ABI3BP	478544
Mus musculus	Abitram	230234
Canis lupus familiaris	ABITRAM	474796
Homo sapiens	ABITRAM	54942
Mus musculus	Abl1	11350
Homo sapiens	ABL1	25
Canis lupus familiaris	ABL1	491292
Mus musculus	Abl2	11352
Homo sapiens	ABL2	27
Canis lupus familiaris	ABL2	480052
Mus musculus	Ablim1	226251
Homo sapiens	ABLIM1	3983
Canis lupus familiaris	ABLIM1	477828
Mus musculus	Ablim2	231148
Canis lupus familiaris	ABLIM2	610389
Homo sapiens	ABLIM2	84448
Homo sapiens	ABLIM3	22885
Mus musculus	Ablim3	319713
Canis lupus familiaris	ABLIM3	612309
Homo sapiens	ABO	28
Canis lupus familiaris	ABO	491265
Mus musculus	Abo	80908
Mus musculus	Abr	109934
Homo sapiens	ABR	29
Canis lupus familiaris	ABR	480638
Canis lupus familiaris	ABRA	100856177
Homo sapiens	ABRA	137735
Mus musculus	Abra	223513
Canis lupus familiaris	ABRACL	476222
Homo sapiens	ABRACL	58527
Mus musculus	Abracl	73112
Canis lupus familiaris	ABRAXAS1	478459
Mus musculus	Abraxas1	70681
Homo sapiens	ABRAXAS1	84142
Mus musculus	Abraxas2	109359
Homo sapiens	ABRAXAS2	23172
Canis lupus familiaris	ABRAXAS2	477859
Canis lupus familiaris	ABT1	100856389
Homo sapiens	ABT1	29777
Mus musculus	Abt1	30946
Canis lupus familiaris	ABTB1	609299
Mus musculus	Abtb1	80283
Homo sapiens	ABTB1	80325
Homo sapiens	ABTB2	25841
Canis lupus familiaris	ABTB2	483430
Mus musculus	Abtb2	99382
Mus musculus	Acaa1b	235674
Homo sapiens	ACAA1	30
Canis lupus familiaris	ACAA1	477023
Homo sapiens	ACAA2	10449
Canis lupus familiaris	ACAA2	490568
Mus musculus	Acaa2	52538
Mus musculus	Acaca	107476
Homo sapiens	ACACA	31
Canis lupus familiaris	ACACA	491130
Canis lupus familiaris	ACACB	100685468
Mus musculus	Acacb	100705
Homo sapiens	ACACB	32
Canis lupus familiaris	ACAD10	486272
Homo sapiens	ACAD10	80724
Canis lupus familiaris	ACAD11	100856488
Mus musculus	Acad11	102632
Homo sapiens	ACAD11	84129
Homo sapiens	ACAD8	27034
Canis lupus familiaris	ACAD8	479386
Mus musculus	Acad8	66948
Mus musculus	Acad9	229211
Homo sapiens	ACAD9	28976
Canis lupus familiaris	ACAD9	476519
Mus musculus	Acadl	11363
Homo sapiens	ACADL	33
Canis lupus familiaris	ACADL	478895
Mus musculus	Acadm	11364
Homo sapiens	ACADM	34
Canis lupus familiaris	ACADM	490207
Mus musculus	Acads	11409
Homo sapiens	ACADS	35
Canis lupus familiaris	ACADS	477517
Homo sapiens	ACADSB	36
Canis lupus familiaris	ACADSB	477856
Mus musculus	Acadsb	66885
Mus musculus	Acadvl	11370
Homo sapiens	ACADVL	37
Canis lupus familiaris	ACADVL	489463
Mus musculus	Acan	11595
Homo sapiens	ACAN	176
Canis lupus familiaris	ACAN	403828
Mus musculus	Acap1	216859
Canis lupus familiaris	ACAP1	479481
Homo sapiens	ACAP1	9744
Homo sapiens	ACAP2	23527
Canis lupus familiaris	ACAP2	488039
Mus musculus	Acap2	78618
Homo sapiens	ACAP3	116983
Mus musculus	Acap3	140500
Canis lupus familiaris	ACAP3	489597
Mus musculus	Acat1	110446
Homo sapiens	ACAT1	38
Canis lupus familiaris	ACAT1	489421
Homo sapiens	ACAT2	39
Canis lupus familiaris	ACAT2	484063
Mus musculus	Acbd3	170760
Canis lupus familiaris	ACBD3	611888
Homo sapiens	ACBD3	64746
Canis lupus familiaris	ACBD4	490928
Homo sapiens	ACBD4	79777
Canis lupus familiaris	ACBD5	477987
Mus musculus	Acbd5	74159
Homo sapiens	ACBD5	91452
Canis lupus familiaris	ACBD6	480029
Mus musculus	Acbd6	72482
Homo sapiens	ACBD6	84320
Homo sapiens	ACBD7	414149
Canis lupus familiaris	ACBD7	607198
Mus musculus	Acbd7	78245
Mus musculus	Accs	329470
Canis lupus familiaris	ACCS	611393
Homo sapiens	ACCS	84680
Homo sapiens	ACCSL	390110
Canis lupus familiaris	ACD	487931
Mus musculus	Acd	497652
Homo sapiens	ACD	65057
Mus musculus	Ace	11421
Homo sapiens	ACE	1636
Canis lupus familiaris	ACE	610668
Canis lupus familiaris	ACE2	480847
Homo sapiens	ACE2	59272
Mus musculus	Ace2	70008
Homo sapiens	ACER1	125981
Mus musculus	Acer1	171168
Canis lupus familiaris	ACER1	611739
Canis lupus familiaris	ACER2	100856386
Mus musculus	Acer2	230379
Homo sapiens	ACER2	340485
Homo sapiens	ACER3	55331
Canis lupus familiaris	ACER3	607939
Mus musculus	Acer3	66190
Mus musculus	Ache	11423
Homo sapiens	ACHE	43
Canis lupus familiaris	ACHE	489828
Homo sapiens	ACIN1	22985
Canis lupus familiaris	ACIN1	480247
Mus musculus	Acin1	56215
Canis lupus familiaris	ACKR1	100856110
Mus musculus	Ackr1	13349
Homo sapiens	ACKR1	2532
Homo sapiens	ACKR2	1238
Canis lupus familiaris	ACKR2	485618
Mus musculus	Ackr2	59289
Mus musculus	Ackr3	12778
Canis lupus familiaris	ACKR3	403964
Homo sapiens	ACKR3	57007
Canis lupus familiaris	ACKR4	100856510
Mus musculus	Ackr4	252837
Homo sapiens	ACKR4	51554
Mus musculus	Acly	104112
Homo sapiens	ACLY	47
Canis lupus familiaris	ACLY	607852
Homo sapiens	ACMSD	130013
Mus musculus	Acmsd	266645
Canis lupus familiaris	ACMSD	476125
Mus musculus	Aco1	11428
Homo sapiens	ACO1	48
Canis lupus familiaris	ACO1	481576
Mus musculus	Aco2	11429
Canis lupus familiaris	ACO2	474487
Homo sapiens	ACO2	50
Mus musculus	Acod1	16365
Canis lupus familiaris	ACOD1	485496
Homo sapiens	ACOD1	730249
Homo sapiens	ACOT11	26027
Mus musculus	Acot11	329910
Canis lupus familiaris	ACOT11	489576
Homo sapiens	ACOT12	134526
Canis lupus familiaris	ACOT12	488925
Mus musculus	Acot12	74156
Homo sapiens	ACOT13	55856
Canis lupus familiaris	ACOT13	610883
Mus musculus	Acot13	66834
Homo sapiens	ACOT2	10965
Homo sapiens	ACOT4	122970
Canis lupus familiaris	ACOT4	490771
Mus musculus	Acot6	217700
Canis lupus familiaris	ACOT6	490772
Homo sapiens	ACOT6	641372
Homo sapiens	ACOT7	11332
Canis lupus familiaris	ACOT7	479589
Mus musculus	Acot7	70025
Homo sapiens	ACOT8	10005
Mus musculus	Acot8	170789
Canis lupus familiaris	ACOT8	477247
Canis lupus familiaris	ACOT9	119868404
Homo sapiens	ACOT9	23597
Mus musculus	Acot9	56360
Mus musculus	Acox1	11430
Canis lupus familiaris	ACOX1	483322
Homo sapiens	ACOX1	51
Canis lupus familiaris	ACOX2	100855488
Homo sapiens	ACOX2	8309
Mus musculus	Acox2	93732
Canis lupus familiaris	ACOX3	488790
Mus musculus	Acox3	80911
Homo sapiens	ACOX3	8310
Homo sapiens	ACOXL	55289
Canis lupus familiaris	ACOXL	611729
Mus musculus	Acoxl	74121
Mus musculus	Acp1	11431
Homo sapiens	ACP1	52
Canis lupus familiaris	ACP1	606814
Mus musculus	Acp2	11432
Canis lupus familiaris	ACP2	475983
Homo sapiens	ACP2	53
Canis lupus familiaris	ACP3	485662
Homo sapiens	ACP3	55
Mus musculus	Acpp	56318
Mus musculus	Acp4	100503991
Canis lupus familiaris	ACP4	484357
Homo sapiens	ACP4	93650
Mus musculus	Acp5	11433
Canis lupus familiaris	ACP5	476705
Homo sapiens	ACP5	54
Canis lupus familiaris	ACP6	475822
Homo sapiens	ACP6	51205
Mus musculus	Acp6	66659
Mus musculus	Acp7	101744
Homo sapiens	ACP7	390928
Canis lupus familiaris	ACP7	484514
Mus musculus	Acr	11434
Homo sapiens	ACR	49
Canis lupus familiaris	ACR	606765
Canis lupus familiaris	ACRBP	477713
Mus musculus	Acrbp	54137
Homo sapiens	ACRBP	84519
Mus musculus	Acrv1	11451
Homo sapiens	ACRV1	56
Canis lupus familiaris	ACRV1	607249
Homo sapiens	ACSBG1	23205
Canis lupus familiaris	ACSBG1	479067
Mus musculus	Acsbg1	94180
Mus musculus	Acsbg2	328845
Homo sapiens	ACSBG2	81616
Mus musculus	Acsf2	264895
Canis lupus familiaris	ACSF2	480551
Homo sapiens	ACSF2	80221
Canis lupus familiaris	ACSF3	100683704
Homo sapiens	ACSF3	197322
Mus musculus	Acsf3	257633
Mus musculus	Acsl1	14081
Homo sapiens	ACSL1	2180
Canis lupus familiaris	ACSL1	475631
Homo sapiens	ACSL3	2181
Canis lupus familiaris	ACSL3	478927
Mus musculus	Acsl3	74205
Homo sapiens	ACSL4	2182
Canis lupus familiaris	ACSL4	481018
Mus musculus	Acsl4	50790
Mus musculus	Acsl5	433256
Canis lupus familiaris	ACSL5	477820
Homo sapiens	ACSL5	51703
Mus musculus	Acsl6	216739
Homo sapiens	ACSL6	23305
Canis lupus familiaris	ACSL6	474670
Homo sapiens	ACSM1	116285
Homo sapiens	ACSM2A	123876
Mus musculus	Acsm2	233799
Homo sapiens	ACSM2B	348158
Mus musculus	Acsm3	20216
Canis lupus familiaris	ACSM3	608888
Homo sapiens	ACSM3	6296
Mus musculus	Acsm4	233801
Homo sapiens	ACSM4	341392
Mus musculus	Acsm5	272428
Homo sapiens	ACSM5	54988
Canis lupus familiaris	ACSM5	609009
Homo sapiens	ACSM6	142827
Canis lupus familiaris	ACSS1	477002
Mus musculus	Acss1	68738
Homo sapiens	ACSS1	84532
Canis lupus familiaris	ACSS2	477205
Homo sapiens	ACSS2	55902
Mus musculus	Acss2	60525
Mus musculus	Acss3	380660
Canis lupus familiaris	ACSS3	475414
Homo sapiens	ACSS3	79611
Mus musculus	Acta1	11459
Canis lupus familiaris	ACTA1	488984
Homo sapiens	ACTA1	58
Mus musculus	Acta2	11475
Canis lupus familiaris	ACTA2	477587
Homo sapiens	ACTA2	59
Mus musculus	Actb	11461
Canis lupus familiaris	ACTB	403580
Homo sapiens	ACTB	60
Mus musculus	Actbl2	238880
